,SKU,code,brands,quantity,status,user_ID,frequency_in_weeks,starts,next_delivery,last_edit,creation_date
0,NupNS1295,3,NutriSource,1,paused,61,4,2022-08-03,2023-05-10,2022-09-27,2022-01-22
1,NupNS1323,4,NutriSource,1,active,66,2,2023-04-11,2023-05-09,2023-04-04,2022-01-22
2,BapBA1354,5,Balance,1,paused,69,6,2021-11-17,2023-05-17,2022-09-01,2022-01-22
3,1spFC1796,6,1st Choice,1,paused,78,4,2022-10-03,2023-05-15,2022-10-21,2022-01-22
4,no_SKU,6,,1,paused,78,4,2022-10-03,2023-05-15,2022-10-21,2022-01-22
5,NugNS3309,7,NutriSource,1,paused,83,8,2021-11-24,2023-06-07,2022-05-09,2022-01-22
6,NugNS3309,8,NutriSource,2,paused,86,6,2021-11-26,2023-05-26,2022-05-11,2022-01-22
7,1spFC3798,10,1st Choice,1,paused,93,4,2021-12-01,2023-05-17,2022-03-07,2022-01-22
8,DipDN2703,11,Diamond Naturals - Diamond,1,active,94,4,2023-05-05,2023-06-02,2023-05-02,2022-01-22
9,PupBE215,12,Purina - Beneful,1,active,32,4,2023-05-31,2023-05-31,2023-04-24,2022-01-22
10,NupNS2273,13,NutriSource,1,active,95,7,2023-04-28,2023-06-16,2023-04-24,2022-01-22
11,DipDN1161,14,Diamond Naturals - Diamond,1,paused,107,2,2022-11-02,2023-05-17,2022-10-28,2022-01-22
12,DipDN3171,15,Diamond Naturals - Diamond,1,active,46,3,2023-05-25,2023-05-25,2023-05-06,2022-01-22
13,TapTW3125,16,Taste of the Wild,1,paused,81,5,2022-08-22,2023-05-29,2022-08-22,2022-01-22
14,NOgAC2769,17,Activcat,1,paused,71,2,2022-01-10,2023-05-15,2022-01-30,2022-01-22
15,1sgFC3787,17,1st Choice,1,paused,71,2,2022-01-10,2023-05-15,2022-01-30,2022-01-22
16,NOgCL1772,18,Canada Litter,1,paused,63,12,2023-03-27,2023-06-19,2023-03-05,2022-01-22
17,TagTW2207,19,Taste of the Wild,1,paused,60,5,2022-07-08,2023-05-19,2022-06-09,2022-01-22
