Proveedor,Pets,Categoría,Marca,SKU,Nombre de producto,DIC,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC.1,ENE.1,FEB.1,MAR.1,TOTAL GENERAL,Ventas Prom x Mes,Pronostico Abril,Ventas Abr,Promedio ultimos 3 meses,Time meses en inventario,TOTAL AS,AUTOSHIPS (ACTIVOS-15 DÍAS),AUTOSHIPS (ACTIVOS-30 DÍAS),SAFETY STOCK,STOCK Actual,STOCK- safety stock,Tipo de producto,Cantidades a Ordenar,inventario total
Corpeco,dos,Farmacia,Calox,CadMe2141,Alergodex 0.5mg - Tableta,0.0,0.0,0.0,0,0,0,0,0,0,125,18,0,13,0,16,32,204,12.2,15.25,0,16.0,0.0,0,0,0,5.3374999999999995,0.0,0.0,DA,NA,0.0
Herrera & Elizondo,perro,Farmacia,Nexdgard,NepNX1993,"10.1 a 25 kg (Verde) - 68, g",10.0,13.0,7.0,3,16,6,18,12,6,8,10,3,4,8,6,12,142,6.6,8.25,6,8.0,5.875,6,0,2,2.8874999999999997,47.0,0.0,AA,NA,47.0
Natural pets,perro,Alimento,Natural Pets,NapNPA2108,Ternera (BARF) - 1Kg - Unidad,0.0,0.0,0.0,0,0,0,6,10,15,25,33,36,25,28,30,41,249,32.0,40.0,52,41.0,0.975609756097561,39,26,13,40.0,40.0,0.0,AA,NA,40.0
Natural pets,perro,Alimento,Natural Pets,NapNPA2107,Pollo (BARF) - 1Kg - Unidad,0.0,0.0,0.0,0,0,0,3,6,14,25,37,41,36,64,42,40,308,44.6,55.75,37,39.666666666666664,0.3781512605042017,25,18,7,37.5125,15.0,0.0,AA,NA,15.0
BELINA,perro,Alimento,Balance,BapBA1354,"Adulto Cordero y Arroz - 14.97, kg",2.0,1.0,2.0,5,7,3,5,3,10,6,13,8,9,8,6,10,98,8.2,10.25,7,7.666666666666667,2.0869565217391304,7,4,3,7.5875,16.0,0.0,AA,0.0,16.0
TechnoVet,perro,Alimento,Petilicious,PepPSA1810,"Alimento A Base de Pollo Con Verduras y Arroz - 400, g",0.0,0.0,0.0,0,11,26,21,0,2,0,0,4,0,5,1,0,70,2.0,2.5,4,1.6666666666666667,2.4,0,0,0,0.875,4.0,0.0,CA,NA,4.0
Natural pets,perro,Alimento,Natural Pets,NapNPA2109,Cerdo (BARF) - 1Kg - Unidad,0.0,0.0,0.0,0,0,0,3,6,11,22,27,26,33,20,31,35,214,29.0,36.25,42,36.0,0.4444444444444444,20,16,4,28.6875,16.0,0.0,AA,NA,16.0
Herrera & Elizondo,perro,Farmacia,Nexdgard,NepNX1995,"25.1 a 50kg (Roja) - 68, g",3.0,3.0,2.0,2,12,8,10,5,7,4,3,2,3,3,8,6,81,4.4,5.5,5,6.333333333333333,2.368421052631579,3,3,0,4.925,15.0,0.0,AA,NA,15.0
Herrera & Elizondo,perro,Alimento,1st CHOICE,1spFC3798,"Adulto Toda Raza Hipoalergenico (Papa y Pato) - 2, kg",2.0,2.0,3.0,5,4,7,5,5,3,5,6,17,11,12,13,18,118,14.2,17.75,13,14.666666666666666,0.9545454545454546,8,4,4,10.212499999999999,14.0,0.0,AA,NA,14.0
Monteco,dos,Farmacia,Petmedica,PedMe2165,Amoxi-Tabs C®-250 - Tableta,0.0,0.0,0.0,0,0,0,0,0,0,11,44,21,4,0,0,10,90,7.0,8.75,0,3.3333333333333335,18.0,0,0,0,3.0625,60.0,0.0,DA,0.0,60.0
