Supplier,Pets,Category,Brand,SKU,Inital_Stock,Received,Shipped,Stock,Active,Paused,Reserved_Autoship_quantity,Autoship_stock_status
BELINA,dog,Food,Balance,BapBA1388,0.0,22,19,3,2,0,2,Available
BELINA,dog,Food,Balance,BapBA1360,2.0,14,14,2,2,0,2,Reserve Now
BELINA,dog,Food,Balance,BapBA1367,2.0,2,3,1,0,0,0,
BELINA,dog,Food,Balance,BapBA1354,6.0,114,104,16,7,3,10,Available
BELINA,dog,Food,Balance,BapBA1368,0.0,40,39,1,3,0,3,Reserve Now
Nestle,dog,Food,Dog Chow,PupCH110,1.0,13,13,1,0,1,1,Reserve Now
nan,,,nan,InpIT2860,1.0,0,1,0,0,0,0,
VETIM SA,dog,Food,Prescription Diet,ScpSD11490,1.0,35,30,6,3,1,4,Available
VETIM SA,dog,Food,Prescription Diet,ScpSD11441,1.0,10,9,2,1,1,2,Reserve Now
VETIM SA,dog,Food,Prescription Diet,ScpSD31478,1.0,26,22,5,3,0,3,Available
VETIM SA,cat,Food,Science Diet,ScgSD31583,3.0,5,5,3,0,0,0,
VETIM SA,cat,Food,Science Diet,ScgSD31579,4.0,21,20,5,6,1,7,Reserve Now
nan,,,nan,PEpPg3215,1.0,0,1,0,0,0,0,
nan,,,nan,PEpPg3211,3.0,0,1,2,0,0,0,
nan,,,nan,PEpPg3210,3.0,0,2,1,0,0,0,
BELINA,dog,Food,Balance,BapBA2347,2.0,9,9,2,1,0,1,Available
BELINA,cat,Food,Balance,BagBA2372,4.0,15,16,3,2,0,2,Available
Nestle,dog,Food,Dog Chow,PupCH346,1.0,1,1,1,0,0,0,
Nestle,dog,Food,Dog Chow,PupCH332,-1.0,6,4,1,0,0,0,
Nestle,dog,Food,Dog Chow,PupCH222,0.0,5,4,1,0,0,0,
Herrera & Elizondo,dog,Food,1st CHOICE,1spFC1796,7.0,140,133,14,17,3,20,Reserve Now
BELINA,dog,Food,NutriSource,NupNS1323,-1.0,108,97,10,5,3,8,Available
BELINA,dog,Food,NutriSource,NupNS1331,4.0,14,16,2,1,0,1,Available
Yanyunis,dog,Food,Taste Of the Wild,TapTW1120,3.0,30,29,4,3,1,4,Reserve Now
Yanyunis,dog,Food,Taste Of the Wild,TapTW2130,2.0,13,12,3,1,0,1,Available
Yanyunis,cat,Food,Taste Of the Wild,TagTW2205,0.0,13,9,4,0,2,2,Available
Yanyunis,dog,Food,Taste Of the Wild,TapTW3122,2.0,9,9,2,1,0,1,Available
Yanyunis,cat,Food,PREY,TagPR3158,-1.0,15,12,2,1,2,3,Reserve Now
BELINA,cat,Food,NutriSource,NugNS3309,5.0,22,25,2,0,3,3,Reserve Now
BELINA,dog,Food,NutriSource,NupNS3275,0.0,96,86,10,9,4,13,Reserve Now
BELINA,dog,Food,NutriSource,NupNS2273,4.0,48,49,3,4,0,4,Reserve Now
Suplidora Royal,cat,Food,Royal Canin,RogRC31270,1.0,10,9,2,1,0,1,Available
Herrera & Elizondo,dog,Food,1st CHOICE,1spFC3798,1.0,140,127,14,8,4,12,Available
Herrera & Elizondo,cat,Food,1st CHOICE,1sgFC3787,1.0,12,11,2,1,2,3,Reserve Now
Repagro,cat,Higiene,Canada Litter,NOgCL1772,2.0,54,51,5,5,2,7,Reserve Now
Repagro,cat,Higiene,Canada Litter,NOgCL2768,7.0,26,31,2,2,2,4,Reserve Now
Repagro,cat,Higiene,Activcat,NOgAC2769,4.0,19,21,2,1,1,2,Reserve Now
Yanyunis,dog,Food,Diamond Naturals,DipDN1164,2.0,26,23,5,2,0,2,Available
Yanyunis,dog,Food,Diamond Naturals,DipDN1161,1.0,34,30,5,4,2,6,Reserve Now
Yanyunis,dog,Food,Diamond Naturals,DipDN1177,2.0,13,11,4,0,4,4,Reserve Now
Yanyunis,dog,Food,Diamond Naturals,DipDN1160,5.0,104,95,14,8,0,8,Available
