,SKU,order_number,order_date,date_received,provider,brand,product_name,units_ordered,orders_received
0,1spFC1796,03-031,2022-01-03 00:00:00,2022-01-06,Herrera y Elizondo,1st CHOICE,"Adulto Toda Raza Hipoalergenico (Papa y Pato) - 11, kg",5,5
1,1spFC3798,03-031,2022-01-03 00:00:00,2022-01-06,Herrera y Elizondo,1st CHOICE,"Adulto Toda Raza Hipoalergenico (Papa y Pato) - 2, kg",5,5
2,1sgFC2792,03-031,2022-01-03 00:00:00,2022-01-06,Herrera y Elizondo,1st CHOICE,"Gato Control de Peso - 5.44, kg",2,2
3,1sgFC2782,03-031,2022-01-03 00:00:00,2022-01-06,Herrera y Elizondo,1st CHOICE,"Gato Indoor Vitality (Pollo) - 5.44, kg",1,1
4,1sgFC3790,03-031,2022-01-03 00:00:00,2022-01-06,Herrera y Elizondo,1st CHOICE,"Gato Urinario - 1.8, kg",1,1
5,1spFC3816,03-031,2022-01-03 00:00:00,2022-01-06,Herrera y Elizondo,1st CHOICE,"Perro Adulto Mant. Piel y Pelo Sensible (Cordero) - 2.72, kg",2,2
6,ArpAT11032,03-031,2022-01-03 00:00:00,2022-01-06,Herrera y Elizondo,ArtriTabs,"Extra Fuerte - 60, tab",6,7
7,heMeHe104,03-031,2022-01-03 00:00:00,2022-01-06,Herrera y Elizondo,Broadline,1kg a 11kg - Caja,1,1
8,hezoHe49,03-031,2022-01-03 00:00:00,2022-01-06,Herrera y Elizondo,Interfarma,HepatoCan Forte - Frasco,2,1
9,KigKA11027,03-031,2022-01-03 00:00:00,2022-01-06,Herrera y Elizondo,KittyAid,"Artricat - 60, ml",1,1
10,heMeHe78,03-031,2022-01-03 00:00:00,2022-01-06,Herrera y Elizondo,Merial,1kg a 11kg - Tableta,6,6
11,heBoFr90,03-031,2022-01-03 00:00:00,2022-01-06,Herrera y Elizondo,Unimedical,"Frontline Spray - 100, ml",2,2
12,heunNo73,03-031,2022-01-03 00:00:00,2022-01-06,Herrera y Elizondo,Unimedical,"Novapel Crema - 15, g",1,1
13,heUnPr66,03-031,2022-01-03 00:00:00,2022-01-06,Herrera y Elizondo,Unimedical,Prednisolona 10 mg (RRM) - Blíster,1,1
14,TapTW3115,01-031,2022-01-09 00:00:00,2022-01-10,Yanyunis,Taste Of The Wild,"Wetlands (Pato) - 2.3, kg",1,1
15,DipDN1160,01-031,2022-01-09 00:00:00,2022-01-10,Yanyunis,Diamond,"Skin And Coat Grain Free Salmon And Potato All Life Stages - 13.6, kg",10,10
16,DipDN2159,01-031,2022-01-09 00:00:00,2022-01-10,Yanyunis,Diamond,"Skin And Coat Grain Free Salmon And Potato All Life Stages - 6.8, kg",2,2
17,DipDi1187,01-031,2022-01-09 00:00:00,2022-01-10,Yanyunis,Diamond,"Hi Energy - 22.7, kg",2,2
18,DipDN2205,01-031,2022-01-09 00:00:00,2022-01-10,Yanyunis,Diamond,"Chicken And Rice (Todas las etapas) - 18.1, kg",8,4
19,DigDN2198,01-031,2022-01-09 00:00:00,2022-01-10,Yanyunis,Diamond,"Indoor (Pollo y Arroz) - 8.16, kg",1,0
20,DigDN2200,01-031,2022-01-09 00:00:00,2022-01-10,Yanyunis,Diamond,"Active Cat (Arroz y Harina de Pollo) - 8.16, kg",1,0
21,DipDN1176,01-031,2022-01-09 00:00:00,2022-01-10,Yanyunis,Diamond,"Extreme Athlete - 18.1, kg",1,1
22,DipDN2703,01-031,2022-01-09 00:00:00,2022-01-10,Yanyunis,Diamond,"Diamond Breeder Rick In Chicken And Rice - 20, kg",1,1
23,KopKG2073,01-031,2022-01-09 00:00:00,2022-01-10,Yanyunis,Kong,Extreme - L,2,0
24,KopKG2071,01-031,2022-01-09 00:00:00,2022-01-10,Yanyunis,Kong,Goodie Bone - S,2,0
25,KopKG2068,01-031,2022-01-09 00:00:00,2022-01-10,Yanyunis,Kong,Classic - S,2,0
26,KopKG2078,01-031,2022-01-09 00:00:00,2022-01-10,Yanyunis,Kong,DuraMax Ball - M,2,0
27,KopKG2075,01-031,2022-01-09 00:00:00,2022-01-10,Yanyunis,Kong,Extreme Ball With Rope - L,2,0
28,KopKG2074,01-031,2022-01-09 00:00:00,2022-01-10,Yanyunis,Kong,Extreme Ball - M/L,2,0
29,TagTW2207,01-031,2022-01-09 00:00:00,2022-01-10,Yanyunis,Taste Of The Wild,"Canyon River (Trucha y Salmón Ahumado) - 6.4, kg",2,2
30,TagPR3158,01-031,2022-01-09 00:00:00,2022-01-10,Yanyunis,Taste Of The Wild,"Prey Angus Cats (Carne de Res Angus) - 3, kg",2,0
31,TapTW3118,01-031,2022-01-09 00:00:00,2022-01-10,Yanyunis,Taste Of The Wild,"Pacific Stream (Salmón Ahumado) - 2.3, kg",4,4
32,TagTW3208,01-031,2022-01-09 00:00:00,2022-01-10,Yanyunis,Taste Of The Wild,"Rocky Mountain Feline (Venado Asado y Salmón Ahumado) - 2.3, kg",2,2
33,TapTW3132,01-031,2022-01-09 00:00:00,2022-01-10,Yanyunis,Taste Of The Wild,"Sierra Mountain (Cordero Rostizado) - 2.3, kg",1,1
34,TapTW2130,01-031,2022-01-09 00:00:00,2022-01-10,Yanyunis,Taste Of The Wild,"High Prairie Puppy (Bisonte Asado y Venado Asado) - 6.4, kg",2,2
35,TapPR3153,01-031,2022-01-09 00:00:00,2022-01-10,Yanyunis,Taste Of The Wild,"Prey Angus Beef Dogs (Carne de Res Angus) - 3.63, kg",2,2
36,TapTW2123,01-031,2022-01-09 00:00:00,2022-01-10,Yanyunis,Taste Of The Wild,"Pacific Stream Puppy (Salmón Ahumado) - 6.4, kg",3,3
